x; y; z; vx; vy; vz; phi; teta; psi; omegaX; omegaY; omegaZ
0.173242;-0.842148;-0.054609;-2.251223;-2.608313;-2.426295;0.025882;1.951517;6.912735;-3.959728;-0.123561;-0.001509
0.179078;-0.857217;-0.054462;-2.217416;-2.626443;-2.430326;0.025882;1.951517;7.104455;-3.976157;-0.123400;-0.010846
0.184535;-0.872561;-0.053280;-2.186973;-2.641573;-2.435724;0.025882;1.951517;7.330831;-3.978731;-0.123376;-0.013674
0.192104;-0.888699;-0.052445;-2.163539;-2.649881;-2.441024;0.025882;1.951516;7.474310;-3.988030;-0.123285;-0.018666
0.203692;-0.922876;-0.057063;-2.145001;-2.647068;-2.443082;0.025882;1.951516;7.858572;-3.980285;-0.123361;-0.011223
0.213248;-0.939615;-0.054182;-2.125814;-2.657236;-2.444617;0.025882;1.951516;8.100869;-3.986281;-0.123303;-0.014856
0.220743;-0.956315;-0.053717;-2.103329;-2.664078;-2.447018;0.025882;1.951516;8.290301;-3.990762;-0.123259;-0.017530
0.238333;-0.985334;-0.057943;-2.085739;-2.674322;-2.448760;0.025882;1.951515;8.445990;-3.995221;-0.123216;-0.020313
0.246548;-1.002243;-0.053394;-2.068111;-2.675266;-2.450610;0.025882;1.951515;8.593740;-3.998251;-0.123187;-0.021314
0.250568;-1.018256;-0.053038;-2.044422;-2.679189;-2.453594;0.025882;1.951515;8.556266;-4.014439;-0.123027;-0.031211
0.252194;-1.033246;-0.052306;-2.022910;-2.683550;-2.457620;0.025882;1.951514;8.346923;-4.034484;-0.122828;-0.043067
0.255444;-1.047369;-0.052641;-2.013717;-2.682423;-2.459810;0.025882;1.951514;8.164523;-4.042745;-0.122746;-0.048430
0.266911;-1.083095;-0.057985;-2.009997;-2.683599;-2.462004;0.025882;1.951514;8.433817;-4.021784;-0.122956;-0.035487
0.273685;-1.099332;-0.053915;-2.006411;-2.684494;-2.461877;0.025882;1.951513;8.671805;-4.014998;-0.123024;-0.031544
0.276803;-1.113538;-0.048664;-1.993887;-2.687705;-2.470377;0.025882;1.951513;8.637996;-4.029565;-0.122879;-0.040217
